Prenom,Nom,Matricule,Company,Departement,City,Office,Fonction,Manager,Telephone
Jean-pierre,Gadere,U00058,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Maria,Garcia-Lopez,U00063,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Alejandro,Gomez,U00071,Pharmgreen,R&D,Lyon,Laboratoire,Laborantin,Nora Al-Hassan,-
Juan,Hernandez,U00076,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Soffia,Itsch,U00082,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Katya,Ivanov,U00083,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Ahmed,Khalid,U00088,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Nina,Kovačević,U00090,Pharmgreen,R&D,Lyon,Laboratoire,Laborantin,Nora Al-Hassan,-
Ibrahim,Lebn',U00105,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Natasha,Lereculey,U00116,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Willy,Leroux,U00118,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Chang,Li,U00121,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Mia-Lyn,Nguyen,U00149,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Jamal,Nkrumah,U00151,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Liam,O'Connor,U00152,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Aya,Patel,U00155,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Victoria,Perraud,U00156,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Paul,Perrin-Girrard,U00159,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Ivan,Petrov,U00163,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Ziad,Provost,U00170,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Ines,Rex,U00172,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Sofia,Rodriguez,U00178,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Responsable Recherche,Kelly Arnaud,0667856189
Kelly,Arnaud,U00010,Pharmgreen,Ressources Humaines,Lyon,-,Directeur-Adjoint Ressources Humaines,Lionel Marchand,0770673819
Myriam,Aubert,U00011,Pharmgreen,Ressources Humaines,Lyon,Formation,Formateur,Kelly Arnaud,0731355860
Jordan,Barbier,U00013,Pharmgreen,Ressources Humaines,Lyon,Gestion des Performances,Agent Ressources Humaines,Kelly Arnaud,-
Delphine,Boucher,U00019,Pharmgreen,Ressources Humaines,Lyon,Gestion des Performances,Agent Ressources Humaines,Kelly Arnaud,-
Étienne,Brun,U00022,Pharmgreen,Ressources Humaines,Lyon,Gestion des Performances,Agent Ressources Humaines,Kelly Arnaud,-
Cédric,Caron,U00023,Pharmgreen,Ressources Humaines,Lyon,Gestion des Performances,Agent Ressources Humaines,Kelly Arnaud,-
Yves,Colin,U00030,Pharmgreen,Ressources Humaines,Lyon,Recrutement,Agent Ressources Humaines,Kelly Arnaud,-
Noah,Dumas,U00042,Pharmgreen,Ressources Humaines,Lyon,Formation,Formateur,Kelly Arnaud,0681305279
Wendy,Fontaine,U00053,Pharmgreen,Ressources Humaines,Lyon,Recrutement,Agent Ressources Humaines,Kelly Arnaud,-
Josepha,Fontainebleau,U00054,Pharmgreen,Ressources Humaines,Lyon,Santé et Sécurité au travail,Technicien HSE,Kelly Arnaud,0753814244
Geneviève,Giraud,U00069,Pharmgreen,Ressources Humaines,Lyon,Gestion des Performances,Agent Ressources Humaines,Kelly Arnaud,-
Timothée,Guillot,U00074,Pharmgreen,Ressources Humaines,Lyon,Santé et Sécurité au travail,Auditeur,Kelly Arnaud,0665661105
Uriel,Hubert,U00080,Pharmgreen,Ressources Humaines,Lyon,Santé et Sécurité au travail,Animateur sécurité,Kelly Arnaud,0655179627
Henri,Joly,U00086,Pharmgreen,Ressources Humaines,Lyon,Gestion des Performances,Agent Ressources Humaines,Kelly Arnaud,-
Paule,Lacombe,U00091,Pharmgreen,Ressources Humaines,Lyon,Santé et Sécurité au travail,Technicien HSE,Kelly Arnaud,0696681410
Sara,Lebrun,U00106,Pharmgreen,Ressources Humaines,Lyon,Santé et Sécurité au travail,Technicien HSE,Kelly Arnaud,0647307941
Xenia,Lechevalier,U00107,Pharmgreen,Ressources Humaines,Lyon,Recrutement,Agent Ressources Humaines,Kelly Arnaud,-
Zacharie,Leclerc,U00108,Pharmgreen,Ressources Humaines,Lyon,Recrutement,Agent Ressources Humaines,Kelly Arnaud,-
Irène,Lemoine,U00114,Pharmgreen,Ressources Humaines,Lyon,Gestion des Performances,Agent Ressources Humaines,Kelly Arnaud,-
Lionel,Marchand,U00129,Pharmgreen,Ressources Humaines,Lyon,-,Directeur Ressources Humaines,Kelly Arnaud,0689914715
Joseph,Poirier,U00166,Pharmgreen,Ressources Humaines,Lyon,Recrutement,Agent Ressources Humaines,Kelly Arnaud,-
Nordman,Polock,U00167,Pharmgreen,Ressources Humaines,Lyon,Gestion des Performances,Agent Ressources Humaines,Kelly Arnaud,-
Ophélie,Poulin,U00168,Pharmgreen,Ressources Humaines,Lyon,Formation,Formateur,Kelly Arnaud,0675781283
Blanche,Renaud,U00171,Pharmgreen,Ressources Humaines,Lyon,Recrutement,Agent Ressources Humaines,Kelly Arnaud,-
Sophie,Clement,U00029,Pharmgreen,Services Juridiques,Lyon,Contrats,Responsable Juridique,Kelly Arnaud,0773550482
Ugo,Dumont,U00043,Pharmgreen,Services Juridiques,Lyon,Contrats,Juriste,Sophie Clement,-
Thomas-Ambroise,Gauthier,U00067,Pharmgreen,Services Juridiques,Lyon,Contrats,Juriste,Sophie Clement,-
Véronique,Lopez,U00124,Pharmgreen,Services Juridiques,Lyon,Contrats,Juriste,Sophie Clement,-
Romain,Mathieu,U00136,Pharmgreen,Services Juridiques,Lyon,Contentieux,Juriste,Sophie Clement,-
Patricia,Morin,U00144,Pharmgreen,Services Juridiques,Lyon,Contentieux,Juriste,Sophie Clement,-
Nathalie,Nicolas,U00150,Pharmgreen,Services Juridiques,Lyon,Contentieux,Juriste,Sophie Clement,-
Oscar,Perrin,U00158,Pharmgreen,Services Juridiques,Lyon,Contentieux,Juriste,Sophie Clement,-
Kenji,Tanaka,U00202,Pharmgreen,Services Juridiques,Lyon,Propriété Intellectuelle,Juriste,Sophie Clement,-
Mohamed,Al-Amin,U00007,Pharmgreen,Services Généraux,Lyon,Logistique,Agent Logistique,"Julien Marie
",0604266370
Isabella,Da Silva,U00032,Pharmgreen,Services Généraux,Lyon,Logistique,Agent Logistique,"Julien Marie
",0766638327
Baptiste,Gros,U00072,Pharmgreen,Services Généraux,Lyon,Logistique,Agent Logistique,"Julien Marie
",0764635179
Hélena,Ivanova,U00084,Pharmgreen,Services Généraux,Lyon,Gestion Immobilière,Gestionnaire immobilier,"Julien Marie
",-
Nathan,Le Roux,U00102,Pharmgreen,Services Généraux,Lyon,Logistique,Agent Logistique,"Julien Marie
",0630771729
Naomie,Lerocher,U00117,Pharmgreen,Services Généraux,Lyon,Logistique,Agent Logistique,"Julien Marie
",0698121096
Julien,Marie,U00132,Pharmgreen,Services Généraux,Lyon,Logistique,Responsable Logistique,Kelly Arnaud,0725806448
Jérômine,Perrot,U00160,Pharmgreen,Services Généraux,Lyon,Logistique,Agent Logistique,"Julien Marie
",0734782819
Charlotte-Léonie,Prevost,U00169,Pharmgreen,Services Généraux,Lyon,Logistique,Agent Logistique,"Julien Marie
",0702281809
Arjun,Singh,U00196,Pharmgreen,Services Généraux,Lyon,Gestion Immobilière,Gestionnaire immobilier,"Julien Marie
",-
Amelia,Smith,U00198,Pharmgreen,Services Généraux,Lyon,Logistique,Agent Logistique,"Julien Marie
",0686930017
Hiroto,Takahashi,U00201,Pharmgreen,Services Généraux,Lyon,Logistique,Agent Logistique,"Julien Marie
",0603807402
Béatrice,Bonnet,U00018,Pharmgreen,Systèmes d'Information,Lyon,Développement Logiciel,Développeur,"Tina Le Hecourt
",-
Pierre,David,U00034,Pharmgreen,Systèmes d'Information,Lyon,Data,Data scientist,"Tina Le Hecourt
",-
Cyril,François,U00056,Pharmgreen,Systèmes d'Information,Lyon,Développement Logiciel,Développeur,"Tina Le Hecourt
",-
Tina,Le Hecourt,U00005 / A00005,Pharmgreen,Systèmes d'Information,Lyon,-,Directrice informatique,Kelly Arnaud,0699164527
Hassan,Liffite,U00122,Pharmgreen,Systèmes d'Information,Lyon,Data,Data scientist,"Tina Le Hecourt
",-
Rosalie,Roux,U00185,Pharmgreen,Systèmes d'Information,Lyon,Data,Data scientist,"Tina Le Hecourt
",-
Chloé,Bernard,U00014,Pharmgreen,Ventes et Développement Commercial,Lyon,Développement internationnal,Commercial,"Sarah Lefranc
",0631423219
Nicolas,Bertrand,U00015,Pharmgreen,Ventes et Développement Commercial,Lyon,ADV,Gestionnaire ADV,"Louis Laurent
",0785401077
Laura,David,U00035,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Commercial,"Elena Robert
",0791275326
Clara,Dubois,U00039,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Commercial,"Elena Robert
",0611551242
Juliette-Claire,Dubonnet,U00041,Pharmgreen,Ventes et Développement Commercial,Lyon,ADV,Gestionnaire ADV,"Louis Laurent
",0768119524
Emma,Dupont,U00045,Pharmgreen,Ventes et Développement Commercial,Lyon,Grands Comptes,Commercial,Mélanie Lefebvre,0710917834
Hugo,Durand,U00047,Pharmgreen,Ventes et Développement Commercial,Lyon,B2C,Commercial,"Karine Simon
",0676900215
Camille,Fournier,U00055,Pharmgreen,Ventes et Développement Commercial,Lyon,ADV,Gestionnaire ADV,"Louis Laurent
",0705492767
Élise,François-D'Assise,U00057,Pharmgreen,Ventes et Développement Commercial,Lyon,ADV,Gestionnaire ADV,"Louis Laurent
",0701519889
Luna,Garcchado,U00061,Pharmgreen,Ventes et Développement Commercial,Lyon,Service Achat,Acheteur,"Oliver Johnson
",0740080910
Julie,Garcia,U00062,Pharmgreen,Ventes et Développement Commercial,Lyon,ADV,Gestionnaire ADV,"Louis Laurent
",0686992516
Olivia,Garcimor,U00064,Pharmgreen,Ventes et Développement Commercial,Lyon,Grands Comptes,Commercial,Mélanie Lefebvre,0723385865
Thomas,Girard,U00068,Pharmgreen,Ventes et Développement Commercial,Lyon,ADV,Gestionnaire ADV,"Louis Laurent
",0718755210
Oliver,Johnson,U00085,Pharmgreen,Ventes et Développement Commercial,Lyon,Service Achat,Responsable Achat,"Sarah Lefranc
",0733632584
Libou,Khamin,U00089,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Commercial,"Elena Robert
",0698556201
Jessy,Lair,U00093,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Commercial,"Elena Robert
",0633376803
Antoine,Lambert,U00095,Pharmgreen,Ventes et Développement Commercial,Lyon,ADV,Gestionnaire ADV,"Louis Laurent
",0602772816
Louis,Laurent,U00097,Pharmgreen,Ventes et Développement Commercial,Lyon,ADV,Responsable ADV,"Sarah Lefranc
",0668251481
Théophile,Laurent-Laffitte,U00098,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Commercial,"Elena Robert
",0754982135
Gabrielle,Le Petit,U00101,Pharmgreen,Ventes et Développement Commercial,Lyon,B2C,Commercial,"Karine Simon
",0752201129
Isabelle,Le Roy,U00103,Pharmgreen,Ventes et Développement Commercial,Lyon,B2C,Commercial,"Karine Simon
",0635913014
Mélanie,Lefebvre,U00110,Pharmgreen,Ventes et Développement Commercial,Lyon,Grands Comptes,Responsable Grands Comptes,"Sarah Lefranc
",0779466973
Raphaël,Lefebvre,U00111,Pharmgreen,Ventes et Développement Commercial,Lyon,Service Client,Agent Client,"Alexandre Rouxel
",0681608883
Sarah,Lefranc,U00112,Pharmgreen,Ventes et Développement Commercial,Lyon,Développement internationnal,Directrice Commercial,Kelly Arnaud,0744720692
Marie,Leroux,U00119,Pharmgreen,Ventes et Développement Commercial,Lyon,Service Client,Agent Client,"Alexandre Rouxel
",0686781565
Hugo,Leroy,U00120,Pharmgreen,Ventes et Développement Commercial,Lyon,Développement internationnal,Commercial,"Sarah Lefranc
",0799311104
Èsteban,Lomez,U00123,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Commercial,"Elena Robert
",0778840637
Jeremy,Lorrain,U00125,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Commercial,"Elena Robert
",0788960245
Alice,Martin,U00133,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Commercial,"Elena Robert
",0792624936
Lucas,Martin,U00134,Pharmgreen,Ventes et Développement Commercial,Lyon,Grands Comptes,Commercial,Mélanie Lefebvre,0634335136
Andréa,Marton,U00135,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Commercial,"Elena Robert
",0685410356
Léa,Michel,U00139,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Commercial,"Elena Robert
",0612044334
Alicia,Moreau,U00141,Pharmgreen,Ventes et Développement Commercial,Lyon,Développement internationnal,Commercial,"Sarah Lefranc
",0737563611
Mathieu,Morel,U00142,Pharmgreen,Ventes et Développement Commercial,Lyon,Service Client,Agent Client,"Alexandre Rouxel
",0764889123
Jérôme,Morotti,U00145,Pharmgreen,Ventes et Développement Commercial,Lyon,B2C,Commercial,"Karine Simon
",0743570154
Dmitri,Orlov,U00153,Pharmgreen,Ventes et Développement Commercial,Lyon,Service Achat,Acheteur,"Oliver Johnson
",0665247366
Maxime,Petit,U00162,Pharmgreen,Ventes et Développement Commercial,Lyon,Développement internationnal,Commercial,"Sarah Lefranc
",0724827047
Fabien,Richard,U00175,Pharmgreen,Ventes et Développement Commercial,Lyon,B2C,Commercial,"Karine Simon
",0625993239
Elena,Robert,U00177,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Responsable B2B,"Sarah Lefranc
",0635656037
Marc,Roussel,U00183,Pharmgreen,Ventes et Développement Commercial,Lyon,Service Achat,Acheteur,"Oliver Johnson
",0704322288
Alexandre,Rouxel,U00186,Pharmgreen,Ventes et Développement Commercial,Lyon,Service Client,Responsable Service Client,"Sarah Lefranc
",0730476005
Karine,Simon,U00193,Pharmgreen,Ventes et Développement Commercial,Lyon,B2C,Responsable B2C,"Sarah Lefranc
",0615375578
David,Thomas,U00205,Pharmgreen,Ventes et Développement Commercial,Lyon,B2B,Commercial,"Elena Robert
",0611737329
Olga,Üt,U00207,Pharmgreen,Ventes et Développement Commercial,Lyon,Grands Comptes,Commercial,Mélanie Lefebvre,0729966375
Manon,Vincent,U00210,Pharmgreen,Ventes et Développement Commercial,Lyon,Service Client,Agent Client,"Alexandre Rouxel
",0749174856
Fatima,Zahra,U00215,Pharmgreen,Ventes et Développement Commercial,Lyon,Service Achat,Acheteur,"Oliver Johnson
",0698997028
Saiah,Benfriha,U00001 / A00001,EntrePrises,Systèmes d'Information,National,T0,Technicien Exterieur,"Dominique Coleville
",?
Camille,Bonnefoy,U00002 / A00002,EntrePrises,Systèmes d'Information,National,T0,Technicien Exterieur,"Dominique Coleville
",?
Aymeric,LeContellec,U00003 / A00003,EntrePrises,Systèmes d'Information,National,T0,Technicien Exterieur,"Dominique Coleville
",?
Zishan,Aslam,U00004 / A00004,EntrePrises,Systèmes d'Information,National,T0,Technicien Exterieur,"Dominique Coleville
",0000000034
John,Doe,U99999,Pharmgreen,Invité,Lyon,Prestataire / Intérim,Stagiaire,Inconnu,-
